UTM_X_m,485303,484253,487403,490552,489502,480054,481104,483203,475855,486353,482155,492651,494751,477955,472694,473739,481095,482154,486348,471645,468489,462178,474787,472682,485294,491597,504199,497899,498949,480038,486341,482135,485282,489495,490542,497898,477955,494751,473755,466407,485303,491602,488451,471654,469543,467433,470588,500000,503149,472686
UTM_Y_m,2162682,2157150,2154937,2153830,2151601,2157142,2154828,2152713,2149399,2148284,2149394,2147174,2149386,2144973,2140554,2137233,2139437,2144968,2141645,2141662,2138348,2133934,2135019,2132809,2137220,2138323,2136108,2133895,2131682,2133906,2132793,2129478,2122836,2136111,2128365,2129469,2157144,2165983,2148298,2144991,2152711,2149387,2146070,2147195,2140559,2135030,2137238,2140533,2123937,2135022
Radar_mm,1.29,2.48,2.79,1.06,2.88,1.62,2.41,2.15,1.89,2.24,1.31,0.57,0.27,2.73,0.67,2.77,3.15,1.46,2.27,1.25,0.43,0.18,1.17,0.43,3.49,1.2,1.27,1.39,4.03,1.86,4.19,7.79,0.96,1.92,1.5,7.39,1.68,0.62,1.46,0.51,3.7,0.85,1.97,1.31,1.01,0.24,0.5,1.04,0.19,0.21
Pluv_mm,1,2.5,1.75,0.5,0.5,1.5,2.25,2.5,1.75,1.75,1,0.25,0.25,2.75,0.75,2.25,2.75,1.25,1.25,1.25,0.5,0.25,1.25,0.25,2.5,0.25,0.25,1,3.75,2,2.75,7.75,0.75,0.5,1.25,7.75,1.75,0.25,1.5,0.5,3.5,0.25,0.5,0.25,1,0.25,0.5,0.25,0.25,0.25
